id,station_id,timestamp,fuel_type,price,latitude,longitude,previous_price
3704,1235075,2026-03-15 21:18:42.420623,diesel,2.139,,,2.149
3680,1235075,2026-03-15 21:18:41.689982,e10,2.019,,,2.029
3667,1235075,2026-03-15 21:18:41.340664,e5,2.079,,,2.089
3693,1235075,2026-03-15 21:18:41.980595,e5p,2.019,,,2.029
4336,1238016,2026-03-15 23:13:14.742547,diesel,2.129,,,2.119
4316,1238016,2026-03-15 23:13:13.467863,e10,2.009,,,1.989
4308,1238016,2026-03-15 23:13:13.121365,e5,2.069,,,2.049
4325,1238016,2026-03-15 23:13:14.360183,e5p,2.009,,,1.989
4339,1238450,2026-03-15 23:13:15.174402,diesel,2.209,,,2.179
4321,1238450,2026-03-15 23:13:14.228502,e10,2.099,,,2.049
4312,1238450,2026-03-15 23:13:13.205324,e5,2.159,,,2.109
4330,1238450,2026-03-15 23:13:14.501462,e5p,2.099,,,2.049
4333,1239038,2026-03-15 23:13:14.642841,diesel,2.119,,,
4314,1239038,2026-03-15 23:13:13.394458,e10,1.989,,,
4306,1239038,2026-03-15 23:13:13.107813,e5,2.049,,,
4323,1239038,2026-03-15 23:13:14.350114,e5p,1.989,,,
4334,1240297,2026-03-15 23:13:14.733427,diesel,2.119,,,2.149
4315,1240297,2026-03-15 23:13:13.405312,e10,1.989,,,2.019
4307,1240297,2026-03-15 23:13:13.112141,e5,2.049,,,2.079
4324,1240297,2026-03-15 23:13:14.353722,e5p,1.989,,,2.019
4332,1240921,2026-03-15 23:13:14.620078,diesel,2.119,,,2.149
4313,1240921,2026-03-15 23:13:13.385770,e10,1.989,,,2.019
4304,1240921,2026-03-15 23:13:12.448622,e5,2.049,,,2.079
4322,1240921,2026-03-15 23:13:14.346223,e5p,1.989,,,2.019
3703,1241880,2026-03-15 21:18:42.390526,diesel,2.139,,,2.119
3674,1241880,2026-03-15 21:18:41.617223,e10,2.009,,,1.989
3661,1241880,2026-03-15 21:18:41.254323,e5,2.069,,,2.049
3687,1241880,2026-03-15 21:18:41.931463,e5p,2.009,,,1.989
4331,1243122,2026-03-15 23:13:14.614462,diesel,2.104,,,
4318,1243122,2026-03-15 23:13:13.642142,e10,2.024,,,
4310,1243122,2026-03-15 23:13:13.177929,e5,2.084,,,
4327,1243122,2026-03-15 23:13:14.394719,e5p,2.024,,,
4224,1243863,2026-03-15 22:58:15.905358,diesel,2.119,,,2.149
4203,1243863,2026-03-15 22:58:13.471827,e10,1.989,,,2.019
4193,1243863,2026-03-15 22:58:13.164573,e5,2.049,,,2.079
4213,1243863,2026-03-15 22:58:14.459697,e5p,1.989,,,2.019
3709,1244121,2026-03-15 21:18:42.453565,diesel,2.149,,,2.119
3681,1244121,2026-03-15 21:18:41.697783,e10,2.019,,,1.989
3668,1244121,2026-03-15 21:18:41.346896,e5,2.079,,,2.049
3694,1244121,2026-03-15 21:18:41.983701,e5p,2.019,,,1.989
4335,1244308,2026-03-15 23:13:14.737455,diesel,2.119,,,
4320,1244308,2026-03-15 23:13:14.213090,e10,2.039,,,2.029
4311,1244308,2026-03-15 23:13:13.199518,e5,2.099,,,2.089
4329,1244308,2026-03-15 23:13:14.496555,e5p,2.039,,,2.029
4337,1247288,2026-03-15 23:13:15.166770,diesel,2.129,,,2.099
4317,1247288,2026-03-15 23:13:13.637178,e10,2.009,,,1.979
4309,1247288,2026-03-15 23:13:13.134894,e5,2.069,,,2.039
4326,1247288,2026-03-15 23:13:14.365185,e5p,2.009,,,1.979
4338,1806060,2026-03-15 23:13:15.170358,diesel,2.159,,,2.119
4319,1806060,2026-03-15 23:13:14.208244,e10,2.029,,,1.989
4305,1806060,2026-03-15 23:13:13.102225,e5,2.049,,,2.079
4328,1806060,2026-03-15 23:13:14.493618,e5p,2.029,,,1.989
2026-03-16T08:06:32.774582,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,e5,2.049
2026-03-16T08:06:32.774582,1243863,JET GIESSEN,JET,GIESSEN,e5,2.049
2026-03-16T08:06:32.774582,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e5,2.049
2026-03-16T08:06:32.774582,1806060,Q1 Lollar,Q1,Lollar,e5,2.049
2026-03-16T08:06:32.774582,1241880,Access Heuchelheim,Access,Heuchelheim,e5,2.049
2026-03-16T08:06:32.774582,1240122,PT Tankstelle Becker Wettenberg,PT Tankstelle Becker,Wettenberg,e5,2.049
2026-03-16T08:06:32.774582,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e5,2.049
2026-03-16T08:06:32.774582,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,e5,2.049
2026-03-16T08:06:32.774582,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e5,2.049
2026-03-16T08:06:32.774582,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,e5,2.069
2026-03-16T08:06:32.774582,1238450,ARAL Wettenberg,ARAL,Wettenberg,e5,2.079
2026-03-16T08:06:32.774582,1243122,Jung Bischoffen,Jung,Bischoffen,e5,2.104
2026-03-16T08:06:32.774582,1244308,Esso Hohenahr,Esso,Hohenahr,e5,2.119
2026-03-16T08:06:32.774582,1235075,ARAL Lahnau,ARAL,Lahnau,e5,2.169
2026-03-16T08:06:32.774582,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,e10,1.989
2026-03-16T08:06:32.774582,1243863,JET GIESSEN,JET,GIESSEN,e10,1.989
2026-03-16T08:06:32.774582,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e10,1.989
2026-03-16T08:06:32.774582,1806060,Q1 Lollar,Q1,Lollar,e10,1.989
2026-03-16T08:06:32.774582,1241880,Access Heuchelheim,Access,Heuchelheim,e10,1.989
2026-03-16T08:06:32.774582,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e10,1.989
2026-03-16T08:06:32.774582,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,e10,1.989
2026-03-16T08:06:32.774582,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e10,1.989
2026-03-16T08:06:32.774582,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,e10,2.009
2026-03-16T08:06:32.774582,1238450,ARAL Wettenberg,ARAL,Wettenberg,e10,2.019
2026-03-16T08:06:32.774582,1243122,Jung Bischoffen,Jung,Bischoffen,e10,2.044
2026-03-16T08:06:32.774582,1244308,Esso Hohenahr,Esso,Hohenahr,e10,2.059
2026-03-16T08:06:32.774582,1235075,ARAL Lahnau,ARAL,Lahnau,e10,2.109
2026-03-16T08:06:32.774582,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,e5p,1.989
2026-03-16T08:06:32.774582,1243863,JET GIESSEN,JET,GIESSEN,e5p,1.989
2026-03-16T08:06:32.774582,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e5p,1.989
2026-03-16T08:06:32.774582,1806060,Q1 Lollar,Q1,Lollar,e5p,1.989
2026-03-16T08:06:32.774582,1241880,Access Heuchelheim,Access,Heuchelheim,e5p,1.989
2026-03-16T08:06:32.774582,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e5p,1.989
2026-03-16T08:06:32.774582,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,e5p,1.989
2026-03-16T08:06:32.774582,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e5p,1.989
2026-03-16T08:06:32.774582,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,e5p,2.009
2026-03-16T08:06:32.774582,1238450,ARAL Wettenberg,ARAL,Wettenberg,e5p,2.019
2026-03-16T08:06:32.774582,1243122,Jung Bischoffen,Jung,Bischoffen,e5p,2.044
2026-03-16T08:06:32.774582,1244308,Esso Hohenahr,Esso,Hohenahr,e5p,2.059
2026-03-16T08:06:32.774582,1235075,ARAL Lahnau,ARAL,Lahnau,e5p,2.109
2026-03-16T08:06:32.774582,1240122,PT Tankstelle Becker Wettenberg,PT Tankstelle Becker,Wettenberg,diesel,2.089
2026-03-16T08:06:32.774582,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,diesel,2.099
2026-03-16T08:06:32.774582,1806060,Q1 Lollar,Q1,Lollar,diesel,2.109
2026-03-16T08:06:32.774582,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,diesel,2.119
2026-03-16T08:06:32.774582,1243863,JET GIESSEN,JET,GIESSEN,diesel,2.119
2026-03-16T08:06:32.774582,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,diesel,2.119
2026-03-16T08:06:32.774582,1241880,Access Heuchelheim,Access,Heuchelheim,diesel,2.119
2026-03-16T08:06:32.774582,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,diesel,2.119
2026-03-16T08:06:32.774582,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,diesel,2.119
2026-03-16T08:06:32.774582,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,diesel,2.119
2026-03-16T08:06:32.774582,1243122,Jung Bischoffen,Jung,Bischoffen,diesel,2.134
2026-03-16T08:06:32.774582,1238450,ARAL Wettenberg,ARAL,Wettenberg,diesel,2.149
2026-03-16T08:06:32.774582,1244308,Esso Hohenahr,Esso,Hohenahr,diesel,2.149
2026-03-16T08:06:32.774582,1235075,ARAL Lahnau,ARAL,Lahnau,diesel,2.219
2026-03-16T09:39:00.013678,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e5,2.049
2026-03-16T09:39:00.013678,1241880,Access Heuchelheim,Access,Heuchelheim,e5,2.049
2026-03-16T09:39:00.013678,1240122,PT Tankstelle Becker Wettenberg,PT Tankstelle Becker,Wettenberg,e5,2.049
2026-03-16T09:39:00.013678,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e5,2.049
2026-03-16T09:39:00.013678,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,e5,2.049
2026-03-16T09:39:00.013678,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e5,2.049
2026-03-16T09:39:00.013678,1806060,Q1 Lollar,Q1,Lollar,e5,2.069
2026-03-16T09:39:00.013678,1238450,ARAL Wettenberg,ARAL,Wettenberg,e5,2.069
2026-03-16T09:39:00.013678,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,e5,2.079
2026-03-16T09:39:00.013678,1243863,JET GIESSEN,JET,GIESSEN,e5,2.079
2026-03-16T09:39:00.013678,1235075,ARAL Lahnau,ARAL,Lahnau,e5,2.089
2026-03-16T09:39:00.013678,1243122,Jung Bischoffen,Jung,Bischoffen,e5,2.104
2026-03-16T09:39:00.013678,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,e5,2.119
2026-03-16T09:39:00.013678,1244308,Esso Hohenahr,Esso,Hohenahr,e5,2.119
2026-03-16T09:39:00.013678,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e10,1.989
2026-03-16T09:39:00.013678,1241880,Access Heuchelheim,Access,Heuchelheim,e10,1.989
2026-03-16T09:39:00.013678,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e10,1.989
2026-03-16T09:39:00.013678,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,e10,1.989
2026-03-16T09:39:00.013678,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e10,1.989
2026-03-16T09:39:00.013678,1238450,ARAL Wettenberg,ARAL,Wettenberg,e10,2.009
2026-03-16T09:39:00.013678,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,e10,2.019
2026-03-16T09:39:00.013678,1243863,JET GIESSEN,JET,GIESSEN,e10,2.019
2026-03-16T09:39:00.013678,1806060,Q1 Lollar,Q1,Lollar,e10,2.019
2026-03-16T09:39:00.013678,1235075,ARAL Lahnau,ARAL,Lahnau,e10,2.029
2026-03-16T09:39:00.013678,1243122,Jung Bischoffen,Jung,Bischoffen,e10,2.044
2026-03-16T09:39:00.013678,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,e10,2.059
2026-03-16T09:39:00.013678,1244308,Esso Hohenahr,Esso,Hohenahr,e10,2.059
2026-03-16T09:39:00.013678,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e5p,1.989
2026-03-16T09:39:00.013678,1241880,Access Heuchelheim,Access,Heuchelheim,e5p,1.989
2026-03-16T09:39:00.013678,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e5p,1.989
2026-03-16T09:39:00.013678,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,e5p,1.989
2026-03-16T09:39:00.013678,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e5p,1.989
2026-03-16T09:39:00.013678,1238450,ARAL Wettenberg,ARAL,Wettenberg,e5p,2.009
2026-03-16T09:39:00.013678,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,e5p,2.019
2026-03-16T09:39:00.013678,1243863,JET GIESSEN,JET,GIESSEN,e5p,2.019
2026-03-16T09:39:00.013678,1806060,Q1 Lollar,Q1,Lollar,e5p,2.019
2026-03-16T09:39:00.013678,1235075,ARAL Lahnau,ARAL,Lahnau,e5p,2.029
2026-03-16T09:39:00.013678,1243122,Jung Bischoffen,Jung,Bischoffen,e5p,2.044
2026-03-16T09:39:00.013678,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,e5p,2.059
2026-03-16T09:39:00.013678,1244308,Esso Hohenahr,Esso,Hohenahr,e5p,2.059
2026-03-16T09:39:00.013678,1240122,PT Tankstelle Becker Wettenberg,PT Tankstelle Becker,Wettenberg,diesel,2.089
2026-03-16T09:39:00.013678,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,diesel,2.119
2026-03-16T09:39:00.013678,1241880,Access Heuchelheim,Access,Heuchelheim,diesel,2.119
2026-03-16T09:39:00.013678,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,diesel,2.119
2026-03-16T09:39:00.013678,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,diesel,2.119
2026-03-16T09:39:00.013678,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,diesel,2.119
2026-03-16T09:39:00.013678,1243122,Jung Bischoffen,Jung,Bischoffen,diesel,2.134
2026-03-16T09:39:00.013678,1806060,Q1 Lollar,Q1,Lollar,diesel,2.139
2026-03-16T09:39:00.013678,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,diesel,2.139
2026-03-16T09:39:00.013678,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,diesel,2.149
2026-03-16T09:39:00.013678,1243863,JET GIESSEN,JET,GIESSEN,diesel,2.149
2026-03-16T09:39:00.013678,1235075,ARAL Lahnau,ARAL,Lahnau,diesel,2.149
2026-03-16T09:39:00.013678,1238450,ARAL Wettenberg,ARAL,Wettenberg,diesel,2.149
2026-03-16T09:39:00.013678,1244308,Esso Hohenahr,Esso,Hohenahr,diesel,2.149
2026-03-16T10:51:09.740298,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,e5,2.049
2026-03-16T10:51:09.740298,1243863,JET GIESSEN,JET,GIESSEN,e5,2.049
2026-03-16T10:51:09.740298,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e5,2.049
2026-03-16T10:51:09.740298,1806060,Q1 Lollar,Q1,Lollar,e5,2.049
2026-03-16T10:51:09.740298,1241880,Access Heuchelheim,Access,Heuchelheim,e5,2.049
2026-03-16T10:51:09.740298,1240122,PT Tankstelle Becker Wettenberg,PT Tankstelle Becker,Wettenberg,e5,2.049
2026-03-16T10:51:09.740298,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e5,2.049
2026-03-16T10:51:09.740298,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,e5,2.049
2026-03-16T10:51:09.740298,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e5,2.049
2026-03-16T10:51:09.740298,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,e5,2.059
2026-03-16T10:51:09.740298,1235075,ARAL Lahnau,ARAL,Lahnau,e5,2.069
2026-03-16T10:51:09.740298,1238450,ARAL Wettenberg,ARAL,Wettenberg,e5,2.069
2026-03-16T10:51:09.740298,1243122,Jung Bischoffen,Jung,Bischoffen,e5,2.104
2026-03-16T10:51:09.740298,1244308,Esso Hohenahr,Esso,Hohenahr,e5,2.109
2026-03-16T10:51:09.740298,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,e10,1.989
2026-03-16T10:51:09.740298,1243863,JET GIESSEN,JET,GIESSEN,e10,1.989
2026-03-16T10:51:09.740298,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e10,1.989
2026-03-16T10:51:09.740298,1806060,Q1 Lollar,Q1,Lollar,e10,1.989
2026-03-16T10:51:09.740298,1241880,Access Heuchelheim,Access,Heuchelheim,e10,1.989
2026-03-16T10:51:09.740298,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e10,1.989
2026-03-16T10:51:09.740298,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,e10,1.989
2026-03-16T10:51:09.740298,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e10,1.989
2026-03-16T10:51:09.740298,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,e10,1.999
2026-03-16T10:51:09.740298,1235075,ARAL Lahnau,ARAL,Lahnau,e10,2.009
2026-03-16T10:51:09.740298,1238450,ARAL Wettenberg,ARAL,Wettenberg,e10,2.009
2026-03-16T10:51:09.740298,1243122,Jung Bischoffen,Jung,Bischoffen,e10,2.044
2026-03-16T10:51:09.740298,1244308,Esso Hohenahr,Esso,Hohenahr,e10,2.049
2026-03-16T10:51:09.740298,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,e5p,1.989
2026-03-16T10:51:09.740298,1243863,JET GIESSEN,JET,GIESSEN,e5p,1.989
2026-03-16T10:51:09.740298,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e5p,1.989
2026-03-16T10:51:09.740298,1806060,Q1 Lollar,Q1,Lollar,e5p,1.989
2026-03-16T10:51:09.740298,1241880,Access Heuchelheim,Access,Heuchelheim,e5p,1.989
2026-03-16T10:51:09.740298,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e5p,1.989
2026-03-16T10:51:09.740298,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,e5p,1.989
2026-03-16T10:51:09.740298,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e5p,1.989
2026-03-16T10:51:09.740298,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,e5p,1.999
2026-03-16T10:51:09.740298,1235075,ARAL Lahnau,ARAL,Lahnau,e5p,2.009
2026-03-16T10:51:09.740298,1238450,ARAL Wettenberg,ARAL,Wettenberg,e5p,2.009
2026-03-16T10:51:09.740298,1243122,Jung Bischoffen,Jung,Bischoffen,e5p,2.044
2026-03-16T10:51:09.740298,1244308,Esso Hohenahr,Esso,Hohenahr,e5p,2.049
2026-03-16T10:51:09.740298,1240122,PT Tankstelle Becker Wettenberg,PT Tankstelle Becker,Wettenberg,diesel,2.089
2026-03-16T10:51:09.740298,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,diesel,2.099
2026-03-16T10:51:09.740298,1243122,Jung Bischoffen,Jung,Bischoffen,diesel,2.104
2026-03-16T10:51:09.740298,1806060,Q1 Lollar,Q1,Lollar,diesel,2.109
2026-03-16T10:51:09.740298,1235075,ARAL Lahnau,ARAL,Lahnau,diesel,2.109
2026-03-16T10:51:09.740298,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,diesel,2.119
2026-03-16T10:51:09.740298,1243863,JET GIESSEN,JET,GIESSEN,diesel,2.119
2026-03-16T10:51:09.740298,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,diesel,2.119
2026-03-16T10:51:09.740298,1241880,Access Heuchelheim,Access,Heuchelheim,diesel,2.119
2026-03-16T10:51:09.740298,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,diesel,2.119
2026-03-16T10:51:09.740298,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,diesel,2.119
2026-03-16T10:51:09.740298,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,diesel,2.119
2026-03-16T10:51:09.740298,1244308,Esso Hohenahr,Esso,Hohenahr,diesel,2.119
2026-03-16T10:51:09.740298,1238450,ARAL Wettenberg,ARAL,Wettenberg,diesel,2.149
